Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
Toquerville,0.4,0,0,0,1.9,86.7
Torrey,0.6,0,0,0,0,22.5
Tremonton,0,0,0,0,7.2,86.1
Trenton,0,0,0,0,0,27.4
Tropic,0,0,0,0,0.3,30.6
Uintah,0,0,0,0,1.4,14
Uintah County (Unincorporated),0,0,1.4,0,114.2,6585.9
Utah County (Unincorporated),49.8,0.7,11.7,0,92.1,1397.8
Vernal,0,0,1.5,0,20.5,70.1
Vernon,0,0,0,0,0,23.1
Vineyard,21.2,0,3.5,1.6,1.1,54.2
Virgin,0,0,0,0,4.4,50.7
Wales,0,0,0,0,0,5.9
Wallsburg,0,0,0,0,0,4.7
Wasatch County (Unincorporated),19.5,0,0,0.3,85.4,1972.4
Washington,22.5,0,0,0.2,25,343
Washington County (Unincorporated),25.6,0,1,0,42.3,2171.8
Washington Terrace,0.5,0,0,0,1.6,32.7
Wayne County (Unincorporated),0.6,0,0,0,9.8,2243.2
Weber County (Unincorporated),14.4,0,0.2,4.5,11.5,707.2
Wellington,0,0,0,0,5.2,34.6
Wellsville,1.2,0,0,0,12.6,52.1
Wendover,0,0,0,0,1.2,44.6
West Bountiful,6,0,1.7,0,4.1,42.6
West Haven,10.3,0,2.8,0,10.4,117.8
West Jordan,26.9,0,32.9,0.1,51.7,474.8
West Point,5.8,0,1.1,0,9.4,69.8
West Valley City,35.4,0,19.1,0.7,47.2,478
White City,3.1,0,0.1,0,1.2,19.6
Willard,1.5,0,0.1,0,1.8,53.5
Woodland Hills,0,0,0,0,0.1,20.6
Woodruff,0,0,0,0,0,9.9
Woods Cross,7.8,0,1.8,0,3.1,60.7
NA,0,0,0,0,0,51.1
